,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1
Sample1,1.0,0.9933360176903326,0.9881359043468599,0.9883824414708353,0.9935864609860866,0.9924593435412359,0.9921197894378996,0.990239716970362,0.990642317309605,0.9923302115344774,0.9867423607779862,0.9917182601426832,0.9959842595623607,0.9993306180373901,1.0051897010862851,1.0033712060378033,0.9961935608383128,0.9920809471963963,0.9926938267330119,0.9961352807004086,0.9926297447440227
Sample2,1.0,1.0034920583527844,1.0038017095132563,1.0055533112608148,1.0051020651727338,1.0029116097654855,1.0048885731978827,1.0063560296467036,1.0110228565444035,1.0096584629557757,1.004246573366404,1.002788761396127,1.0084098239231731,1.016140600294701,1.0175548128428649,1.0230713125880841,1.0240535871833878,1.0237260061527145,1.0274457224106588,1.0289014692438623,1.031307224298655
Sample3,1.0,0.9956153242694671,0.9910131488824465,0.9934925606723876,0.9972787142478068,0.9964313442156528,0.9945330048512754,0.9977478535796782,1.0003709533122704,1.003873502632961,1.005721307603429,1.0056488332459492,1.0021088728561052,1.006933996198928,1.009685412515959,1.0145869258545874,1.0184127788687298,1.0154636764014728,1.0109418894075946,1.0089057751996868,1.0121669517206087
Sample4,1.0,1.001766210990189,1.0032565559489206,1.008032150730142,1.0058859038363084,1.0061022367483494,1.0035845655583686,1.0039761333977844,1.0059940705428927,1.0108091378542863,1.0158627992550655,1.016738033380419,1.0186863920030655,1.0264096914162641,1.0249761020264243,1.0204616736674403,1.017466733534645,1.0169155829499077,1.0139760461483351,1.0136295507809634,1.0205279992291332
Sample5,1.0,1.0046280821683249,1.0048482755369206,1.0081059450671184,1.0162167728262135,1.0236278901947324,1.0259119572115494,1.0276477639197452,1.0321409780611768,1.0352046303364992,1.0340723459288494,1.037325756666737,1.038602480386197,1.0379514488130164,1.036823109650402,1.030203003370376,1.0207822463693297,1.0164913623434944,1.0123203265735246,1.0188832425323422,1.0235249191188036
Sample6,1.0,1.0048368724132954,1.010914813953373,1.008568981599427,1.0023905651038392,1.0087377321462867,1.009541987146486,1.0057685371684701,1.010452151261217,1.008049781615586,1.010841108557159,1.0158317729257933,1.0158786310042536,1.0226939853155665,1.0263122252929755,1.0206284080980303,1.0198134585063874,1.0214425134299645,1.0217191091082127,1.020411013586743,1.0250291065356627
Sample7,1.0,1.002964243379438,1.0049345943506631,1.00782286928385,1.0106538266143141,1.0102564349103893,1.0150991589012421,1.012046162998978,1.0125490362536251,1.0194691971902525,1.02240403963169,1.0252444215185073,1.026130960621117,1.026903183561873,1.0225237353135062,1.0176619218812044,1.0157783683436086,1.0180312889298422,1.016626766539777,1.0117437622005694,1.0118997889277797
Sample8,1.0,0.9957815600702046,0.991561751817385,0.9947369410831319,0.9974084740121828,0.996279600485722,0.9951634785678638,0.9966463454006657,0.9971926231232761,1.0016307909041176,0.9973344771951824,0.9943057199251907,0.998890367544134,0.999637263120709,0.9968235987654265,0.9912646255792482,0.9904418100581328,0.9924256003644357,0.9935128623824053,0.993555895937525,0.9952882689782492
Sample9,1.0,1.0089917477475536,1.011533993442662,1.0171102565334165,1.0163567728689846,1.0183158468832167,1.0139864833587366,1.0120998957386382,1.0096241044611913,1.015077488476184,1.0101189664731396,1.0088386240581797,1.0126706274425379,1.0148026807218136,1.0186170463062878,1.0213930177498785,1.022781017483036,1.024490892993827,1.029448178614006,1.034080141871312,1.0395165462114664
Sample10,1.0,1.000147335327921,1.0008016254556233,1.0129028486611966,1.0147216024906718,1.0233427306696594,1.0213700017821072,1.0210237243428024,1.0207821885022084,1.0199564264162526,1.0267692816279435,1.0226721341946308,1.0208133297694657,1.01603257662259,1.0185690081298182,1.0224909584892814,1.0170173567046237,1.021239421977757,1.0242856210826015,1.0234180686722354,1.0269291778856027
