,Actual_Volume,Period,Days_Since_Cutoff,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
2024-03-14 04:00:00+00:00,4687970000,Calibration,0,4489617017.326244,5203007064.028728,4527602901.942031,4497933749.420192,5680336389.3695345,5262257009.534681,4996566998.112696,4995654155.429066,4420287645.203184,4007519719.2120013,3655846150.798039,4192011146.9668493,4574678248.035363,4823792417.266005,5863866873.808293,4673330321.879119,4089439772.2402167,4218565270.216799,4696801880.84701,5329685778.241544,5084803626.559642,4464376358.029483,4605659607.613418,4325577614.356572,4483191964.896857,4906683509.33854,5031669863.35739,4551975501.305723,4370214056.539545,5599921525.891779,4219684496.0025415,4623597252.081437,5018776792.2354555,4895822412.989113,4220638063.6314607,5462574240.244225,4631008823.828516,4269336297.240775,5441093959.96265,4782051289.162211,4249679864.1309447,5230756448.483468,4876977838.449245,5231891849.825802,4633646475.302948,4843241520.300465,5085331072.953532,4186157625.343484,4590124031.805156,5390833377.35277,4139908549.1461773,5092681367.6209545,4668626975.029503,4416149926.195853,5127772191.808554,4895543256.883529,4544764780.473758,4866167500.464082,4892627907.490703,3492587334.9003267,5088210655.280739,5553174143.80745,5033982174.2765255,5593536623.305683,4827968485.017751,4279813610.326613,5145039063.009081,5018416586.456703,4156877833.631556,4558108246.198248,5315293601.324041,4755094727.806691,4287989879.9869576,4616308350.138432,4070613729.1917844,5117344802.638445,5196702636.977793,4524301755.25854,5324552892.800233,4965178573.664174,4939996138.025953,4606519048.183116,4620778463.485105,5136374870.612188,4725424902.117427,3810426481.0012317,3941153888.9443,4132021538.0864434,5050936092.145142,5027563401.271475,4614930581.484902,4767609597.834567,4132017978.5623417,4008929710.4931145,5349417330.87961,4329902253.463761,4520362603.469431,5091378895.59283,4338136003.758276,4299969360.985178
2024-03-15 04:00:00+00:00,7753670000,Calibration,0,7086630163.972174,8703340652.511745,7474151886.30019,8024040116.107975,6949101661.800236,9852382124.11381,8584308753.243953,6641032898.991635,7498705211.280962,7101606764.16331,8384024702.455818,8535344317.9591875,8139171290.10376,6882855000.739359,7708377072.50436,8227955987.437332,7804289044.240338,7991702215.192171,6653360594.220838,7728294330.3747015,7385012924.4637375,6680652259.692409,7832937428.753018,8187970401.840398,7839281314.56703,7772267716.023917,7493680444.42412,8024543568.541347,7369915295.879294,8424136660.73654,6978590176.548416,7234386541.9789715,8358852896.116421,8025728475.462101,7670082288.603929,8307453261.369033,7218997464.396068,7853094733.678913,8415088621.984353,7853083596.537363,7682173203.879301,7772353299.306224,8246792628.567546,9155848669.31362,8432192989.411867,9149167821.026316,8235070518.599459,6689357256.705402,7429736113.547037,7606548352.154749,9051358527.174286,7437462378.527762,6791771585.850839,7246332630.304514,7636262949.197202,6622477635.686807,9264225696.899858,7154745759.526078,6998373748.292037,7951058804.850341,7328882311.9814825,8548390980.710394,7756825833.624879,8098215108.967039,7891050532.561258,8220792098.799679,7558808054.040987,7659260333.856298,7275078804.089558,7198908354.040466,7435726344.300619,7776411229.714467,7416702079.025141,9330725696.451345,8421243665.098283,7941429404.921463,7864227195.736404,8412923756.664517,7604776360.712282,8126272311.735051,9375294667.632948,6547301345.26912,6891191831.788705,7784800916.71572,8331831919.34971,8589221033.543381,7389938008.278345,7141172053.420256,7434734302.452203,9845655527.973234,7148228910.411495,8635479233.940687,7256837600.998257,8570552599.929193,8209356525.823896,7864453643.313596,9143904446.633638,7156601336.941957,6906803076.721553,7529141869.0021715
2024-03-18 04:00:00+00:00,4036220000,Calibration,0,4214915073.758292,4411588939.179187,4289175691.498709,3506126586.265659,3835778312.4296713,4276111697.7183223,4710652617.531262,4265921087.032553,3792159542.289154,4084209185.2272234,3773872921.389312,4350006760.484259,4475159034.152406,3757387718.692413,4322444723.364911,4511260022.843767,3983452401.964968,3746239737.6444573,4485675876.948966,4138455412.397975,3768419681.281133,3865430499.630877,3360141318.8553476,3449237352.906816,3476243616.1166277,4004222131.5344534,3924197407.828411,3733562968.8751717,3969045952.086087,4377994725.249521,4114738549.619115,3758963894.8628807,3404370396.0105166,4359912860.506574,3199390995.813683,4457373999.953915,3802688799.6633034,4170407269.2096376,4047316933.4182587,3338679796.305361,4021583269.5486817,3923347022.0677137,3638197629.6936207,4089843006.222147,4554031666.545812,4281046058.5844417,4567586598.911281,4298730044.488379,4180412998.516675,4078373791.5276847,4726145123.359781,3699394990.8366055,3677887807.952017,4547947355.492023,4206146983.41063,4168442877.8591456,3713577341.9303184,4525016228.715398,4353124816.265538,4499262205.824577,4184898686.7439237,3791991162.2892423,3683486470.267882,3722961342.043222,4168846701.208903,3634911548.3096,4450806900.98638,3883969086.5484114,4076700657.2812133,4196639872.2766643,4771535104.376238,4498813080.602418,3762564764.7691092,3743793442.944721,3870157294.074981,4019376117.4907246,4604511097.898229,3494727001.470958,4323854407.610138,4112702741.3076777,4184773340.7333055,4416008679.852957,3779742531.2917585,4701742181.93113,3652710865.100378,3488395451.9330015,3400430635.048812,4633606419.733442,4311708027.952112,3813285570.7793865,4146992718.803456,3395668253.507108,4032477292.0209117,4706520281.551487,4654827654.703879,4895834837.785446,4311831595.10432,3648858888.8561444,4015656763.4802322,3516540056.3776016
2024-03-19 04:00:00+00:00,4031760000,Calibration,0,4319252012.857672,3739969352.4797506,4436400845.937434,4293278804.3641415,4432636976.1619215,4001396947.3920717,4064297173.8445554,3330608857.6778293,4947419601.043651,4184074298.0725317,3364985343.5936074,3918862998.3202996,3934202080.6700373,4257212562.7672157,4251607501.4046507,4207501142.668421,4480078000.247695,4664071156.301731,4546568872.869032,4104001542.701732,4014518652.2702107,4202465743.122373,3864531796.38581,4361979288.962924,5149530632.8155155,4250246984.9549904,4347859789.998122,3706079847.7002845,5128953096.644391,4366237370.023397,4175870317.661873,4508047239.17707,4148329392.902956,3815413040.5951014,4358012290.206449,4463745410.880965,4119519824.4580703,4122064641.933641,4656285245.465918,4058903409.75566,4196265274.007134,4139811716.335965,4188824885.2495885,3789789641.5946703,3732493869.6588187,3198849398.3547,3685058903.7354407,4044655704.120282,4945387582.751062,4965425288.34267,4406410388.703178,5151391317.414027,4264720158.6334014,4278456722.615799,4283688044.669598,4444080453.023521,4434145052.7593355,4165674221.3069277,3587759635.685198,4310679142.2367325,4328706222.217298,3142585425.242666,3435320829.677523,4544914548.943883,4453601532.671939,3926136317.4792376,4614493985.369712,4172621222.4522324,3898993822.6300197,4239495492.0360394,3578601666.253078,4488536633.927646,4624960525.555947,4625578471.423365,4148904190.000084,4207926956.762316,3818203337.2311807,3756459661.7875953,4424244579.992325,4223489860.321872,4406293866.674752,4305715253.329198,4539174261.811247,4772901693.582178,4139887245.8637004,4641538934.6100645,5087446081.426863,3435667045.7532945,4244350471.9505215,3897787593.0641875,4838544943.766995,3832586920.0657854,4640029529.916206,4361769537.443838,3813948189.2697253,4817228717.89457,4864242407.114455,4247373186.183789,4565388553.655891,4752381919.094454
2024-03-20 04:00:00+00:00,4064850000,Calibration,0,3831678776.028295,3824584141.7684183,3804733743.684948,4030116541.2689166,4108780573.345734,4025973500.1153874,3501063945.945601,4288769603.3781686,3690477467.8669586,4832472469.2357025,4094848072.1188974,3415681305.652831,4011644100.541788,4481876311.004769,3748272151.219485,3725016777.3872705,4004042632.461185,4979912538.988259,3673825675.0341773,4312560525.548671,4018291532.678825,3559620592.5875497,3761872906.929226,3781989850.189188,3492320705.4061937,4231891476.4526615,4267885441.5538692,4537937777.635151,4461972157.306179,3769441538.2218165,3466340530.485819,3953670149.8427463,3923234954.2383976,3544604125.020312,4218847378.028431,4560342286.86221,4103981317.613892,4185201954.517054,5420305831.338968,3761282369.8954625,3713496143.641639,3331571258.784954,2692409747.127441,3980273713.158567,3418368334.1027145,4462545706.083373,4198175055.9446945,3969357750.403405,3358301107.059239,4389958727.9284315,3946125835.104874,4330437728.308884,3646441663.462099,3752654601.826558,4028963358.477559,4433960078.79644,3776951044.17058,4671986164.562023,3772247888.662218,4329538979.292243,4555674418.088387,4156082219.4413404,3815636660.1161065,3813070711.6504283,3837532128.3824787,3890427684.522859,4098713315.054719,4472209229.770186,4038765723.6331406,4465740127.077954,3587418801.508427,3731369737.5819035,3672570320.6031423,3619872064.3922853,4344197887.455596,4625007089.969707,4471141111.868278,3864030407.3158197,3693224359.9216123,3657454197.2058578,4168781641.547162,3738511151.9633765,4111106013.237514,3900572788.15003,4403753923.307732,4193966374.8401318,3691145045.7887926,4309766338.766769,3861849795.1069007,4095052201.5274224,4052858691.8175225,4954864215.221641,3823791188.64053,3957376055.8854647,3750431788.9218836,4362788907.100083,3780376736.222661,4114109380.85453,3568575930.3040185,3325774540.1418777
2024-03-21 04:00:00+00:00,4207730000,Calibration,0,3981366425.851803,4382643675.740655,4167998673.5587363,4420212541.167558,4324673819.17972,3439023672.9916377,4005421489.968436,4548039603.260212,3946057311.24401,3599084506.577044,4509577086.318862,4117630786.106025,3735939486.1424994,4071095847.948043,3417429040.369918,3436978995.073308,4263858501.2754,3818535239.6633716,3858107398.067548,4002190233.793516,4738960719.836524,3696981988.9707146,3845604139.3998666,3871428812.160516,4043740554.4555206,4289930330.575328,4762218183.525388,4481997918.055283,4606342948.058917,4094372308.8807464,4247319709.510662,4016690139.597335,4060946693.5561633,4343763723.887468,4878284521.615956,3723807097.689371,4046020236.4706397,4183042733.795602,4226287092.8356357,3902807811.264305,3556758826.128236,4102030633.767175,4281514615.1638784,3247794636.735913,3874467382.3892765,3547457445.511277,3874226584.5739913,4027888576.601332,4293486149.444104,4418035621.4076185,4095819291.212863,3823837290.732805,4356390003.289864,4185545502.5097523,5405800677.349973,3593916467.4259872,4645948701.241003,3768259073.6802998,3342920685.3354015,4327362589.414261,4493403431.82806,4511830141.2061,4121929770.8035617,4303693534.127264,4088641471.8685226,4459952537.739435,3876370858.1214743,3680028503.006018,4311667440.869558,4004798641.9789133,3956046745.3132434,3264478987.1505194,4229267028.6555586,4388898241.360272,4112123931.763349,4632803819.989918,3847919541.4120207,3874996324.4699874,4018586447.0194545,3175475789.9260693,4688036984.175056,3706074049.2220435,4114525162.635817,4282098118.7917376,3553706582.5523005,4138097115.292388,4641525994.259383,4802475581.389236,4257616687.055137,4811178899.533508,3650077944.3554993,4293152968.173527,3790975850.2752624,4308708897.973872,4680882888.36837,4151246414.066757,3986853430.417777,3416009343.656763,4616751995.0879965,3438036154.3566613
2024-03-22 04:00:00+00:00,3374700000,Calibration,0,3616601016.582747,3102610101.020777,4291783913.431395,3576847735.4840555,3707488242.3624325,3289029095.413915,3626579340.1820073,3325208069.0317483,3606824045.1562624,3713285701.7345877,3491439001.610476,3376958663.0713477,2651621162.580381,3451194474.44838,3285119724.3148036,3292091235.2199283,2960783366.3058486,3723401185.2171226,3371542505.4882016,3879708672.285555,2850962088.53838,4280835893.3157215,3602406000.2724366,3023304565.73258,3523100399.1650376,3669187270.1367803,3955610855.974374,3557871007.995079,3947625289.800753,3507038661.8954,3876070981.696209,3246984743.0012975,3316841154.2896,3311820448.009437,3466012052.2220316,3044714066.8290734,3944121339.0663266,3577268384.967063,3070937114.609059,3746507012.3181596,2794285158.163019,3777914554.768241,3428255891.132804,3521189722.9756064,3904018179.5536795,3616065078.6049137,3103215786.1571083,4072049803.122909,4272344354.815009,4226698581.5258007,3802525555.251582,3462773819.6877255,4061284421.3977036,4021968444.3479395,3298959095.7648754,3999819364.5822062,3365545891.6746306,3269498273.890821,4085490265.1445975,3098185650.7660728,3001989825.4386306,3149585856.0629883,3977793445.829147,3607379569.8242416,3821000429.6534286,3596788740.486855,3690475237.101521,3388901008.2650366,3705825967.3989186,2834432230.5725274,3682114243.7677026,3472539267.666621,3553775239.606802,3738098720.88758,3606738357.333851,4224526516.5497155,3972761168.3262906,3524724734.883363,3799961051.4957867,4258996064.626092,3385308282.290012,3768369888.4747195,3535508140.701829,3738453066.41419,3652079294.2192574,3499380820.361187,4177205465.885631,3823094701.084338,4491204700.71949,3201734540.705226,3573314164.993841,3390710893.4180813,3592079200.8267903,3321177793.672877,3517845875.402938,3359736648.5910196,3876280815.454305,3530874217.975392,2953994989.6871476,3688349307.354424
2024-03-25 04:00:00+00:00,3331360000,Calibration,0,2914542492.4026666,3651052044.08053,3996814779.944839,3076430497.958925,3624374801.2380457,3268572210.363212,3079603404.9948335,3450163812.6414433,2998358504.9230585,3915556431.026138,3252020653.3806186,3446616965.2190256,3476375846.6484475,3269389187.858566,2933670545.5160537,3197708524.77372,4051648310.435033,3160380181.5288806,2640292976.466456,3022215042.541466,3415924063.311572,3114772356.370883,3353338393.9606266,3249557458.9769864,4059913258.359114,3865665444.390135,3223520897.410154,3975548229.3664036,3067654091.276115,3595356157.4662485,3023512684.650338,3145751261.384424,3290103696.14053,2872831030.1583667,3547272214.900379,3405899328.9449215,3581217282.8346205,3190260866.165179,3208248693.047834,3114792149.454731,3363351082.8260293,3523858066.851516,3072892653.366963,3687848406.814451,3822097569.5472937,3144041217.6008434,3261987910.78642,3838073567.602049,3451929522.326693,3574988559.31582,4007135650.693907,3513771406.061265,3357429493.1540017,3508182249.304185,3177771629.4188623,3985847759.6176915,3507188630.789889,3119303526.16849,3329144629.3114605,3106022838.892123,3335251591.720547,3405062520.6248116,3373772405.9861345,4002480664.866113,3502588352.564479,3414874607.457593,3574025255.6466618,3151859470.755697,3921368540.8961573,3284048760.7285566,3332392284.907558,2693417517.8460703,3730346995.7460694,3426794136.8919954,3590462469.515137,3483594952.4924655,3403509488.121794,3035531139.5045576,3239078944.676264,3077930610.316507,3686934917.5653667,2862347408.6718645,3392530670.5002437,3417849401.716438,2810022366.1847434,3321925817.292184,3481740735.6554885,3543771301.0056515,3174423178.426708,4006026565.7049108,3674823126.585266,3678948159.695732,3335137280.429961,4302546046.575779,3214104056.394658,3666304087.0735765,3620557396.8529944,2989931265.140156,3323965614.2444997,2986523439.9994025
2024-03-26 04:00:00+00:00,3871790000,Calibration,0,3279993463.344119,3725520388.6072974,3983814850.3576016,4274021124.031975,4240859963.169682,3617200707.4367743,3451889536.491252,4563211281.619304,3666217244.6091275,4684329968.922791,3756426124.5063024,3678647785.523436,4049693746.764139,3613128351.5583386,4467758680.593845,3858125413.611842,3754563396.5353107,4214617962.4062204,3945506560.1144023,3397774037.205387,4055800688.4164314,3693945180.1007166,3605291736.1283817,4231240733.716047,3311530889.7028494,3918478745.1183224,3778320375.838526,3715045784.400941,3350650603.0902357,4393252207.745463,4302998633.928575,3939433308.23406,4141590216.4906363,4188046066.0825324,3488482853.0803776,2992287304.396372,3209991776.2936563,4192117822.143783,4056019190.467643,3586436482.597194,3652734536.05228,4397735684.613809,3937777087.7386765,3803609194.70667,3464272355.5220056,4635187071.024452,4225211163.411983,3344928885.2061386,3345699861.0666943,3058949989.017027,3599523614.904163,4024843887.231675,3866940841.857245,4043603483.314876,4082213505.4038873,3973824281.6712317,3568930096.2555995,3251495871.8708525,4644414530.887577,3694666711.354154,3462718162.573012,3716598054.699554,3742223325.1954083,4510063005.543751,3773648954.2244215,4537067391.837039,4074520829.3733325,3802517653.6811934,3319689651.3891253,3196408098.194572,3630060726.1442723,3438961847.0081325,4233098883.1833415,3628180665.8733163,3652858487.7415166,3482509238.767557,3054461070.3233294,3669204703.1003876,4189632241.987391,3884635603.1130824,3347431893.791876,3931639609.3697443,3737428057.757113,3286327510.928676,3456968078.431281,3503988017.4512734,3779080782.856387,3640301059.7661514,3721848875.3683577,3267908512.447708,3778560469.4994297,3517593689.5205674,3638843724.6880074,3593364639.2662907,3626581000.349046,3826952609.124431,3781229777.5407434,4056541050.6469326,3277851083.053577,3626027522.8731794
2024-03-27 04:00:00+00:00,3850500000,Calibration,0,3632034111.414527,3766499926.176654,3928045245.0315604,3851138445.8938885,4073542987.4996204,3972792933.146345,4047703997.3243456,3715266346.994208,4037398802.6436534,3754926082.3680353,3768158346.910541,3127621059.520629,4015725121.165759,4028601281.348855,3868129399.3264313,3778111849.383882,4186151730.624889,3418056214.8035264,3806405009.7743173,4182175861.8038106,3988873613.4186997,3769467601.5823846,4080643038.1982517,3903317053.7313986,4689431733.074321,3659209421.258483,4175754754.3611245,4430770585.098216,3480036238.3579574,4350798975.699608,3302651860.1363106,3398419964.593378,3164641839.0305705,4459101449.589715,3773697695.634733,4394746918.1177635,4118117601.657183,3744605405.1381335,3285186001.3206654,3096467349.4341965,3648667665.816432,3810267168.4602046,4372070769.619438,3801985076.673703,4033429315.308604,4476513516.023897,3767479179.9171953,3704682577.961818,3671184385.684822,4239010408.1756277,3475842978.6918607,3561137405.2566557,4702890154.243952,3618811373.69255,3680273848.6647425,3506967369.8063684,4279926325.060468,3546491950.0867186,4227382086.833333,4330089145.565127,4135476305.810854,3953982874.0649657,4064037289.5329623,3679453501.001041,3365125067.4632583,3194330381.3751516,4251821165.7236,3645246288.8361807,4045345307.6914153,4075833492.251853,4468999636.742333,3571050139.9261293,4185518959.829425,3968402359.4386163,3848091066.9040847,3740791885.890001,4198897013.562958,3894392728.9625793,4423832223.018547,3851013841.5829124,3801842421.9366665,4243269761.4255786,4115525935.314992,3546016570.488739,3715717965.831786,3832571725.2564707,3395709312.9333878,3660426600.6867895,3651729828.0992117,3865739093.1338415,4405516367.047481,3090315970.6937895,3997888306.451352,4428695800.641378,3908837820.952968,3936537208.3643136,3419129441.784617,3207360587.052779,2891874836.062729,3937894462.076657
