,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1
Sample1,0.10322359396433471,0.10425240054869685,0.1083676268861454,0.10802469135802469,0.10733882030178327,0.11248285322359397,0.11248285322359397,0.11179698216735254,0.1135116598079561,0.11248285322359397,0.11248285322359397,0.11625514403292181,0.11625514403292181,0.11659807956104253,0.11796982167352538,0.11796982167352538,0.11728395061728394,0.11659807956104253,0.11728395061728394,0.11625514403292181,0.11488340192043896
Sample2,0.10322359396433471,0.1056241426611797,0.10973936899862825,0.11008230452674897,0.10768175582990398,0.10973936899862825,0.11179698216735254,0.11042524005486969,0.11248285322359397,0.11248285322359397,0.11419753086419752,0.11556927297668039,0.11316872427983539,0.11488340192043896,0.11591220850480109,0.11556927297668039,0.11934156378600823,0.11899862825788751,0.11796982167352538,0.11282578875171467,0.11556927297668039
Sample3,0.10322359396433471,0.10665294924554183,0.1107681755829904,0.10871056241426612,0.11145404663923182,0.11282578875171467,0.1107681755829904,0.10528120713305898,0.10459533607681756,0.11008230452674897,0.11042524005486969,0.11213991769547325,0.11213991769547325,0.1135116598079561,0.11316872427983539,0.1111111111111111,0.11385459533607682,0.10699588477366255,0.10802469135802469,0.10939643347050755,0.11008230452674897
Sample4,0.10322359396433471,0.10699588477366255,0.1107681755829904,0.11282578875171467,0.11488340192043896,0.11522633744855967,0.11522633744855967,0.10596707818930041,0.10459533607681756,0.10768175582990398,0.10802469135802469,0.09259259259259259,0.09259259259259259,0.09362139917695474,0.09670781893004116,0.09499314128943759,0.09465020576131687,0.09224965706447188,0.08847736625514403,0.09122085048010974,0.09362139917695474
Sample5,0.10322359396433471,0.10768175582990398,0.11042524005486969,0.11179698216735254,0.1056241426611797,0.10631001371742113,0.10802469135802469,0.10150891632373114,0.10185185185185185,0.09876543209876543,0.09602194787379972,0.09567901234567901,0.09842249657064472,0.100480109739369,0.09979423868312758,0.09876543209876543,0.09842249657064472,0.08847736625514403,0.0877914951989026,0.07647462277091907,0.07681755829903979
Sample6,0.10322359396433471,0.10733882030178327,0.10939643347050755,0.11008230452674897,0.10939643347050755,0.11145404663923182,0.11248285322359397,0.11316872427983539,0.11522633744855967,0.11282578875171467,0.11591220850480109,0.11591220850480109,0.11728395061728394,0.11625514403292181,0.11694101508916324,0.11865569272976681,0.12037037037037036,0.11934156378600823,0.12002743484224966,0.11899862825788751,0.12037037037037036
Sample7,0.10322359396433471,0.10493827160493827,0.10733882030178327,0.100480109739369,0.10082304526748971,0.10150891632373114,0.09224965706447188,0.0929355281207133,0.09224965706447188,0.0901920438957476,0.08950617283950617,0.08916323731138547,0.08847736625514403,0.08539094650205761,0.08539094650205761,0.08333333333333333,0.08367626886145405,0.07578875171467764,0.07818930041152264,0.07647462277091907,0.07716049382716049
Sample8,0.10322359396433471,0.10665294924554183,0.10699588477366255,0.11145404663923182,0.10973936899862825,0.10939643347050755,0.11042524005486969,0.10665294924554183,0.10596707818930041,0.10973936899862825,0.10425240054869685,0.10631001371742113,0.10631001371742113,0.10013717421124829,0.09567901234567901,0.09670781893004116,0.09567901234567901,0.09567901234567901,0.09465020576131687,0.09156378600823045,0.09156378600823045
Sample9,0.10322359396433471,0.10528120713305898,0.11179698216735254,0.11008230452674897,0.11316872427983539,0.11145404663923182,0.11213991769547325,0.10459533607681756,0.10802469135802469,0.10596707818930041,0.10493827160493827,0.10596707818930041,0.10493827160493827,0.09396433470507544,0.0901920438957476,0.08813443072702332,0.08950617283950617,0.08573388203017833,0.0901920438957476,0.09053497942386832,0.08847736625514403
Sample10,0.10322359396433471,0.10733882030178327,0.11213991769547325,0.11248285322359397,0.11008230452674897,0.1111111111111111,0.11316872427983539,0.10733882030178327,0.10253772290809328,0.10493827160493827,0.10185185185185185,0.10390946502057613,0.10459533607681756,0.10425240054869685,0.10528120713305898,0.10356652949245541,0.10425240054869685,0.10459533607681756,0.10631001371742113,0.10905349794238683,0.10871056241426612
Sample11,0.10322359396433471,0.10768175582990398,0.11213991769547325,0.11042524005486969,0.10219478737997256,0.10219478737997256,0.10219478737997256,0.10253772290809328,0.10493827160493827,0.09636488340192044,0.09396433470507544,0.09499314128943759,0.09396433470507544,0.09465020576131687,0.09567901234567901,0.09259259259259259,0.0929355281207133,0.09259259259259259,0.09156378600823045,0.09156378600823045,0.08847736625514403
